ID,Todo
49,49.다목적 세정 스프레이로 손을 씻으십시오.
50,50.빗물이나 그레이 워터를 모으십시오.
51,51.음식을 잘 저장하여 싱싱함이 오래 갈 수 있도록 하세요.
52,52.피곤한 신발을 수리하기 위해 지역 구두 수리공을 찾으십시오.
53,"53.구매하는 모든 것을 파악하십시오. 그것이 음식, 의복 또는 기타 생활용품 무엇이든간에."
54,54.온라인 주문을 위한 플라스틱 포장재 거절 및 재사용 포장재를 요청하십시오.
55,55.매일 외식하는 대신 점심을 싸십시오.
56,"56.고기 소비를 줄입니다. 채식을 시작할 준비가 안되면 월요일, 평일 채식주의 자 또는 심지어 평일 채식주의자를 시도하십시오."
57,57.부엌찌꺼기를 재생하는 방법을 다시 배웁니다.
58,58.건조기를 사용하는 대신 빨래줄에 건조시킵니다.
59,59.수제 구강 세척제를 사용하십시오.
60,60.플라스틱 샤워 수세미를 버리고 실제 수세미 또는 대나무 목욕 솔을 사용하십시오.
61,61.커피 숍에서 진짜 머그컵을 요청하십시오.
62,62.항상 식기 세척기를 가득 채우십시오.
63,63.대부분의 자외선 차단제가 산호 표백을 일으킵니다. (카리브해에서 적어도 80%의 산호를 잃었습니다.)
64,64.직접 먹을 음식과 남은 음식을 위해 자신의 용기를 준비하십시오.
65,65.물티슈를 버리고 헹주와 걸레를 사용하십시오.
66,66.그린워싱에 주의하십시오. 항상 연구하십시오. (그린워싱은 친환경이라고 마케팅하지만 사실은 환경에 해가되는 것일 의미합니다.)
67,67.자신의 탈취제를 만드십시오.
68,68.30 분 또는 그 이하 도보인 경우 운전 대신에 밖으로 나가십시오.
69,69.지속 가능한 미래를 위해 귀하의 돈으로 투표하십시오.
70,70.커피를 마시러 갈 때 나만의 컵을 가져 오십시오.
71,"71.tree-free 화장지를 사용합니다. (대나무,사탕수수 펄프를 이용한 화장지)"
72,72.옷의 수명을 연장하기 위해 단추나 옷을 수리하는 법을 배웁니다.
73,73.일회용 대신 충전식 배터리를 사용하세요.
74,74.헝겊 냅킨으로 저녁 식사를 제공하십시오 .
75,75.더 많은 야채와 콩류를 섭취하십시오.
76,76.식물에 물을 주거나 화장실 물을 내릴 때 사용할 물을 위해 욕실에 물통을 두십시오.
77,"77.선물을 신문지에 포장하든지, 전혀 포장하지 마십시오.  "
78,78.화장솜을 재사용 가능한 것으로 교체하십시오.
79,79.사물보다는 경험에 집중하십시오.
80,80.플라스틱 일회용 면도기에서 금속 안전 면도기로 전환하십시오.
81,81.가능한 한 찬물에 옷을 씻으십시오.
82,82.친구나 가족에게 수제선물을하십시오.
83,83.집중적인 곡물 재배를 줄이기 위해 밀가루 없는 수요일을 시도하십시오.
84,84.정크메일을 피하십시오.
85,85.바쁜 밤에 테이크 아웃을 피하려면 식품 저장실에 잘 보관하십시오.
86,"86.기프트 카드, 오래된 휴대폰, 배터리 및 사용할 수 없는 코드와 같은 품목을 적절히 폐기할 수 있는 위치를 잘 파악하십시오."
87,87.의류 수리에 도움이되는 지역 재봉 업체를 찾으십시오.
88,88.구매하기 전에 정말로 필요한지 스스로에게 물어보십시오.
89,89.귀하의 모든 청구서에 대해 종이없는 양식을하십시오. 
90,90.친구들과 옷을 교환하십시오.
91,91.외출시 쓰레기를 주워 적절히 처리하세요.
92,92.커피를 마실 때 재사용 가능한 필터를 부어서 사용하십시오.
93,93.플라스틱 면봉과 귀후비개를 버리고 plastic-free또는 재사용 가능한 제품을 이용합니다.
94,94.스폰지를 버리고 퇴비를 만들 수있는 스크럽이나 솔을 이용합니다.
95,95.재활용하는 양을 줄이십시오. 쓰레기 제로는 더 이상 재활용하지 않는 것입니다.
96,96.종이의 양면을 사용하십시오.
97,"97.영수증을 피하고 꼭 인쇄해야하는지 물어보십시오. 때로는 그럴 수 있지만, 항상 그런 것은 아닙니다!"
98,98.가능한 경우 대중 교통을 이용하거나 카풀하십시오.
99,99.커뮤니티 가든에 가입하십시오. (어떤 커뮤니티인 지는 모르겠지만 제로웨이스트에 관한 커뮤니티이지 않을까...생각해요)
100,100.찻주머니(티백)를 찻잎을 넣고 재사용할 수 있는 체에 넣으세요.
101,101.비데설치를 검토해보세요.
